topology,node_count,family,workflow_size,deadline_factor,candidate_count,sharing,paired_sample_size,provisioning_cost_improvement_pct_mean,provisioning_cost_improvement_pct_ci95_low,provisioning_cost_improvement_pct_ci95_high,end_to_end_delay_s_improvement_pct_mean,end_to_end_delay_s_improvement_pct_ci95_low,end_to_end_delay_s_improvement_pct_ci95_high,network_data_mb_improvement_pct_mean,network_data_mb_improvement_pct_ci95_low,network_data_mb_improvement_pct_ci95_high,resource_utilization_improvement_pct_mean,resource_utilization_improvement_pct_ci95_low,resource_utilization_improvement_pct_ci95_high,cpu_utilization_improvement_pct_mean,cpu_utilization_improvement_pct_ci95_low,cpu_utilization_improvement_pct_ci95_high,ram_utilization_improvement_pct_mean,ram_utilization_improvement_pct_ci95_low,ram_utilization_improvement_pct_ci95_high,max_link_bandwidth_utilization_improvement_pct_mean,max_link_bandwidth_utilization_improvement_pct_ci95_low,max_link_bandwidth_utilization_improvement_pct_ci95_high,workflow_deadline_success_improvement_pct_mean,workflow_deadline_success_improvement_pct_ci95_low,workflow_deadline_success_improvement_pct_ci95_high,workflow_completed_improvement_pct_mean,workflow_completed_improvement_pct_ci95_low,workflow_completed_improvement_pct_ci95_high,global_deadline_success_improvement_pct_mean,global_deadline_success_improvement_pct_ci95_low,global_deadline_success_improvement_pct_ci95_high,sfc_subdeadline_success_improvement_pct_mean,sfc_subdeadline_success_improvement_pct_ci95_low,sfc_subdeadline_success_improvement_pct_ci95_high
medium,12,inspiral,300,3.0,12,Sharable,5,-2.601141828944269,-13.802647916779762,8.600364258891222,24.31879547385581,19.97856052033278,28.65903042737884,4.766170472471748,-1.2588198657130656,10.79116081065656,-9.725136334914595,-12.113328597172384,-7.33694407265681,-13.097447773536643,-15.930449695259556,-10.264445851813731,-7.747374215451951,-10.248467572243207,-5.246280858660695,-91.7678627314991,-129.8339059624179,-53.701819500580285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,12,montage,300,3.0,12,NonSharable,5,15.160951561423142,-0.4273833618407963,30.749286484687083,8.78659693184268,7.717605723531102,9.855588140154255,5.549818177015161,3.149404831813376,7.9502315222169475,7.283024837569654,-0.609563214250489,15.175612889389797,4.222388464609802,-2.9623657704136903,11.407142699633294,9.056154046388269,0.6339861291280968,17.47832196364844,-45.84766406223139,-49.873359160452914,-41.82196896400986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,12,montage,300,3.0,12,Sharable,5,-46.0774722556019,-58.13103899970329,-34.0239055115005,35.74616385362155,33.78710988465267,37.705217822590434,-41.180505263499505,-45.545944868201474,-36.815065658797536,-36.96166081873931,-40.56979464500012,-33.353526992478486,-38.82634589779037,-42.548522985313966,-35.104168810266756,-35.88576782289702,-39.489328148532884,-32.28220749726116,-188.0759113195947,-267.02073859250675,-109.13108404668267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_plus,18,cybershake,450,3.0,18,NonSharable,5,15.704792828556327,9.428529192702403,21.98105646441026,11.29410778715054,8.383332807330492,14.20488276697059,5.526908685511261,1.8791855013365564,9.174631869685966,9.831074079377379,7.404767586934878,12.25738057181988,7.097384976959492,4.443238300323586,9.751531653595398,11.39300114090258,9.020070215381267,13.765932066423897,-46.107142406060746,-68.2482653208665,-23.966019491255018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_plus,18,cybershake,450,3.0,18,Sharable,5,-41.151004187069766,-57.30632750044661,-24.995680873692923,32.657266629155856,27.937610908480167,37.376922349831545,-35.0753972756951,-46.80472617048524,-23.346068380904967,-34.78312431062291,-36.89503394691097,-32.67121467433485,-36.508476176837235,-38.50313131862151,-34.513821035052956,-33.797683534033055,-35.98676291544028,-31.608604152625844,-125.04215388970893,-168.2451685309452,-81.83913924847266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_plus,18,epigenomics,450,3.0,18,NonSharable,5,14.828521763385444,3.8062713076941304,25.85077221907676,6.8503514232507445,5.744487183432598,7.956215663068891,16.13889588438955,7.442380969765221,24.835410799013882,13.45355709158294,6.430346172422788,20.476768010743093,10.954911402924413,4.670943524131727,17.2388792817171,14.817236384755313,7.330394500781995,22.30407826872863,-27.022949361771587,-34.89648922144773,-19.149409502095445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_plus,18,epigenomics,450,3.0,18,Sharable,5,-9.85992440657933,-16.795057712226093,-2.9247911009325653,12.933515373484331,10.54006599228381,15.326964754684854,0.40250175563699314,-17.764191182197976,18.569194693471964,-13.95289426873785,-19.655851387263244,-8.249937150212464,-15.960589458545666,-21.832229288714704,-10.088949628376625,-12.85805221558295,-18.5099587715976,-7.2061456595683,-63.79956896832584,-106.09740290646319,-21.5017350301885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_plus,18,inspiral,450,3.0,18,NonSharable,5,28.42786464564302,23.222642256696616,33.63308703458942,15.460886666970671,11.378809885365238,19.542963448576103,19.308400548569907,16.303165185632018,22.313635911507788,22.988285158855525,15.660071106678497,30.316499211032554,18.095384282734816,11.375192448011568,24.815576117458058,25.825744809250146,17.953143626388382,33.69834599211191,-28.337683003129307,-69.60407924797923,12.928713241720601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_plus,18,inspiral,450,3.0,18,Sharable,5,2.0439018190927225,-7.146928160053882,11.234731798239327,24.346085563589742,19.842313872958155,28.84985725422133,4.334788423299369,-1.155160409979433,9.824737256578171,-8.607343142608793,-13.005734755048074,-4.208951530169512,-12.054952446028636,-15.243933726007688,-8.865971166049585,-6.6072848333392304,-11.792291496510302,-1.422278170168159,-81.82253250645688,-132.06133615886432,-31.583728854049447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_plus,18,montage,450,3.0,18,NonSharable,5,20.752006292062127,12.397114624075455,29.106897960048805,11.471669362194827,9.257770498013592,13.685568226376063,4.623264163475126,2.6674581376059265,6.579070189344325,11.545875979524201,4.472388808149185,18.61936315089922,8.317917533348545,2.383771159102918,14.252063907594174,13.401152371971046,5.6097993591270905,21.192505384815,-46.69913661729089,-65.691506350255,-27.706766884326782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
