controlled_bos_size,deadline_factor,sharing,candidate_count,comparison,metric,paired_seeds,hds_mean,comparator_mean,mean_paired_difference,median_paired_difference,paired_ci95_low,paired_ci95_high,cohen_dz,paired_t_p_value,hds_improvement_pct,conditional_on_both_globally_successful
8,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.028999999999999998,0.015,0.014000000000000002,0.010000000000000002,0.0071991261934174445,0.02080087380658256,2.556038601690775,0.004635839417904408,-93.33333333333333,1
8,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,9.720508383170344,17.822652626668862,-8.102144243498516,-7.703837837686182,-10.304040490474641,-5.900247996522391,-4.568853246024474,0.0005172961724589458,45.459811248157884,1
8,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,50.710299345059944,50.710299345059944,0.0,0.0,0.0,0.0,,1.0,0.0,1
8,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,8.917200903400225,0.00285646779884696,8.914344435601379,9.224738851000438,0.9575269670982367,16.87116190410452,1.391086398184844,0.035852324209949334,-312075.7895187804,0
8,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,8.915143319399068,0.0021610281990433002,8.912982291200024,9.22099693799828,0.9558202309822876,16.87014435141776,1.3908136021183333,0.03587349896932353,-412441.739313992,0
8,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,8.916441629199834,0.0,8.916441629199834,9.22643658999732,0.960565697946695,16.872317560452974,1.3915783326348214,0.035814176773660264,,0
9,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
9,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
9,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.5333333333333334,0.48888888888888893,0.04444444444444447,0.0,-0.03112082007313953,0.12000970896202846,0.7302967433402215,0.17780780835622137,9.090909090909104,0
9,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.035,0.029000000000000005,0.006000000000000001,0.010000000000000002,-0.0008008738065825565,0.012800873806582558,1.0954451150103321,0.07048399691021992,-20.689655172413786,1
9,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,9.581914741342205,14.086716021847627,-4.504801280505421,-5.032483592784624,-7.352508375310258,-1.657094185700584,-1.9641941333327806,0.011763603645536193,31.97907357200041,1
9,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,58.07864365388343,58.07864365388343,0.0,0.0,0.0,0.0,,1.0,0.0,1
9,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.0170949718012707,0.00317746940054342,0.013917502400727278,0.013273726995976199,0.011055318101513709,0.016779686699940847,6.037648127916052,0.00017418859703650046,-438.0058671327273,0
9,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.01597885720038898,0.0019412188004934799,0.0140376383998955,0.014304813001217501,0.010194743652703925,0.017880533147087076,4.53565121284963,0.0005321283692511712,-723.1353001695105,0
9,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.01631387599918524,0.0,0.01631387599918524,0.0157344910003303,0.013808188312311656,0.018819563686058822,8.084148956577742,5.506366944764421e-05,,0
9,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
9,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
9,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.7555555555555555,0.711111111111111,0.04444444444444447,0.0,-0.03112082007313953,0.12000970896202846,0.7302967433402215,0.17780780835622137,6.25000000000001,0
